STRUCTURE,STRUCTURE_ID,freq,accident,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,BG,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,CY,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,CY,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,CZ,2014,21.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,CZ,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,DE,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,DE,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,DK,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,DK,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EE,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EE,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EL,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EL,2019,6.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,ES,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,ES,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EU27_2020,2014,8.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EU27_2020,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,EU28,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,FI,2014,9.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,FI,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,FR,2014,10.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,FR,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,HR,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,HR,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,HU,2014,14.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,HU,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IE,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IE,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IS,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IS,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IT,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,IT,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LT,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LT,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LU,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LU,2019,5.7,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LV,2014,6.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,LV,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,MT,2014,6.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,MT,2019,6.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,NL,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,NL,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,NO,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,NO,2019,5.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,PL,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,PL,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,PT,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,PT,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,RO,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,RO,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SE,2014,10.1,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SE,2019,6.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SI,2014,8.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SI,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SK,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,SK,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG1,T,Y_GE75,PC,UK,2014,7.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,AT,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,AT,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,BE,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,BE,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,BG,2014,1.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,BG,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,CY,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,CY,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,CZ,2014,9.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,CZ,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,DE,2014,6.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,DE,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,DK,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,DK,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EE,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EE,2019,6.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EL,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EL,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,ES,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,ES,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EU27_2020,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EU27_2020,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,EU28,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,FI,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,FI,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,FR,2014,4.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,FR,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,HR,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,HR,2019,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,HU,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,HU,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IE,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IE,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IS,2014,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IS,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IT,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,IT,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LT,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LT,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LU,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LU,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LV,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,LV,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,MT,2014,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,MT,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,NL,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,NL,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,NO,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,NO,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,PL,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,PL,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,PT,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,PT,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,RO,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,RO,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SE,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SE,2019,2.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SI,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SI,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SK,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,SK,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,TOTAL,PC,UK,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,AT,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,BE,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,BG,2014,0,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,CZ,2014,7.0,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,DE,2014,9.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,DK,2014,5.7,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,EE,2014,0,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,EL,2014,0,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,ES,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,EU28,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,FI,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,FR,2014,4.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,HR,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,HU,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,IE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,IS,2014,2.5,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,IT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,LT,2014,,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,LU,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,LV,2014,2.1,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,MT,2014,5.2,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,NL,2014,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,NO,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,PL,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,PT,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,SE,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,SI,2014,12.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-19,PC,UK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,AT,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,AT,2019,8.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,BE,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,BE,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,BG,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,BG,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,CY,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,CZ,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,CZ,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,DE,2014,9.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,DE,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,DK,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,DK,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EE,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EL,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EL,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,ES,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,ES,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EU27_2020,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EU27_2020,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,EU28,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,FI,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,FI,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,FR,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,FR,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,HR,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,HR,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,HU,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,HU,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IE,2014,3.8,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IE,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IS,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IS,2019,0.6,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,IT,2019,1.8,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LT,2014,3.3,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LT,2019,5.2,u
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LU,2014,4.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LU,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LV,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,LV,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,MT,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,MT,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,NL,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,NL,2019,2.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,NO,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,NO,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,PL,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,PL,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,PT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,PT,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,RO,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SE,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SE,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SI,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SI,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SK,2014,1.6,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,SK,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1U(1.0),A,HOM,DEG2,F,Y15-24,PC,TR,2014,0,
